Section,Title,Content
Leistungen,-,"✂️ Herren, Damen, Kinder & Senioren 💈 Bartpflege & Rasur 🧴 Waschen & Styling"
Preise,Herren Schnitt,25€
Preise,Damen Schnitt,35€
Preise,Kinder / Senioren,18€
Preise,Bart Rasur,15€
Preise,Komplett Paket,40€
Galerie,-,https://images.unsplash.com/photo-1585747860715-2ba37e788b70?auto=format&fit=crop&w=800&q=80
Galerie,-,https://images.unsplash.com/photo-1605497788044-5a32c7078486?auto=format&fit=crop&w=800&q=80
Galerie,-,https://images.unsplash.com/photo-1622287162716-1c3b8e3a3d6c?auto=format&fit=crop&w=800&q=80
Öffnungszeiten,-,"Mo–Fr: 09:00 – 19:00\nSa: 09:00 – 18:00\nSo: Geschlossen"
Kontakt,-,"📍 Hausfeldstraße 199/1D, 1220 Wien\n📞 0690 67676767"
